Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,
Data,2,monitoring,timestamp_16,"55046",s,heart_rate,"65",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55061",s,heart_rate,"65",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"3223",steps,timestamp_16,"55064",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55075",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966448931",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55105",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966448961",s,data16,"0",,event,"47",,event_type,"254",,comm_timeout,"0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448961",s,data16,"1",,event,"47",,event_type,"2",,comm_timeout,"1",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3230",steps,timestamp_16,"55124",s,current_activity_type_intensity,"6",,activity_type,"6",,intensity,"0.0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55135",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966448991",s,data16,"1",,event,"47",,event_type,"254",,comm_timeout,"1",,,,,,,,,,,,,,
Data,6,event,timestamp,"966448991",s,data16,"2",,event,"47",,event_type,"2",,comm_timeout,"2",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3239",steps,timestamp_16,"55165",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449021",s,data16,"2",,event,"47",,event_type,"254",,comm_timeout,"2",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449021",s,data16,"3",,event,"47",,event_type,"2",,comm_timeout,"3",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55195",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966449051",s,data16,"3",,event,"47",,event_type,"254",,comm_timeout,"3",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449051",s,data16,"4",,event,"47",,event_type,"2",,comm_timeout,"4",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55196",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55211",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966449067",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55226",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55241",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55256",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55271",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55286",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55301",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55317",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"3282",steps,timestamp_16,"55333",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449189",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55363",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966449219",s,data16,"0",,event,"47",,event_type,"254",,comm_timeout,"0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449219",s,data16,"1",,event,"47",,event_type,"2",,comm_timeout,"1",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55364",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55393",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966449249",s,data16,"1",,event,"47",,event_type,"254",,comm_timeout,"1",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449249",s,data16,"2",,event,"47",,event_type,"2",,comm_timeout,"2",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55423",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966449279",s,data16,"2",,event,"47",,event_type,"254",,comm_timeout,"2",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449279",s,data16,"3",,event,"47",,event_type,"2",,comm_timeout,"3",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55424",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"3293",steps,timestamp_16,"55453",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449309",s,data16,"3",,event,"47",,event_type,"254",,comm_timeout,"3",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449309",s,data16,"4",,event,"47",,event_type,"2",,comm_timeout,"4",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55454",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55477",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966449333",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55492",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55507",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55522",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55537",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55553",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55568",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55583",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55598",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55615",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55630",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55645",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55660",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55676",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55691",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55706",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55726",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55741",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55756",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55771",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55787",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"3419",steps,timestamp_16,"55800",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449656",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3426",steps,timestamp_16,"55802",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449658",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3428",steps,timestamp_16,"55815",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449671",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"55817",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966449673",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55819",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55834",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"3480",steps,timestamp_16,"55844",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55859",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"55874",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"3568",steps,timestamp_16,"55892",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449748",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3622",steps,timestamp_16,"55922",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449778",s,data16,"0",,event,"47",,event_type,"254",,comm_timeout,"0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449778",s,data16,"1",,event,"47",,event_type,"2",,comm_timeout,"1",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3677",steps,timestamp_16,"55952",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449808",s,data16,"1",,event,"47",,event_type,"254",,comm_timeout,"1",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449808",s,data16,"2",,event,"47",,event_type,"2",,comm_timeout,"2",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3726",steps,timestamp_16,"55982",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449838",s,data16,"2",,event,"47",,event_type,"254",,comm_timeout,"2",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449838",s,data16,"3",,event,"47",,event_type,"2",,comm_timeout,"3",,,,,,,,,,,,,,
Data,4,monitoring,steps,"3756",steps,timestamp_16,"56012",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449868",s,data16,"3",,event,"47",,event_type,"254",,comm_timeout,"3",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449868",s,data16,"4",,event,"47",,event_type,"2",,comm_timeout,"4",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56042",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966449898",s,data16,"4",,event,"47",,event_type,"254",,comm_timeout,"4",,,,,,,,,,,,,,
Data,6,event,timestamp,"966449898",s,data16,"5",,event,"47",,event_type,"2",,comm_timeout,"5",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56043",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56052",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966449908",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56067",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56086",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56101",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56116",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56131",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56147",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56162",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56177",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56192",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"3950",steps,timestamp_16,"56204",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56208",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56215",s,heart_rate,"75",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56230",s,heart_rate,"77",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56232",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56247",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56262",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56264",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56278",s,heart_rate,"78",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56280",s,heart_rate,"70",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56288",s,heart_rate,"64",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56303",s,heart_rate,"64",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56318",s,heart_rate,"64",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56334",s,heart_rate,"64",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56336",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56351",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56366",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56381",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"4001",steps,timestamp_16,"56384",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56397",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56412",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56427",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56442",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56458",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56473",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56488",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56503",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56519",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56534",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56549",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56564",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56566",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966450422",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56596",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966450452",s,data16,"0",,event,"47",,event_type,"254",,comm_timeout,"0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966450452",s,data16,"1",,event,"47",,event_type,"2",,comm_timeout,"1",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56624",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56626",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966450482",s,data16,"1",,event,"47",,event_type,"254",,comm_timeout,"1",,,,,,,,,,,,,,
Data,6,event,timestamp,"966450482",s,data16,"2",,event,"47",,event_type,"2",,comm_timeout,"2",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56627",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"4010",steps,timestamp_16,"56641",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966450497",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56656",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56671",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56687",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56702",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56717",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56732",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56748",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56763",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56766",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966450622",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56796",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966450652",s,data16,"0",,event,"47",,event_type,"254",,comm_timeout,"0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966450652",s,data16,"1",,event,"47",,event_type,"2",,comm_timeout,"1",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56797",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966450653",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56812",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56827",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56842",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56857",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56864",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56873",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56888",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56903",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"4025",steps,timestamp_16,"56920",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966450776",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56924",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"4034",steps,timestamp_16,"56950",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966450806",s,data16,"0",,event,"47",,event_type,"254",,comm_timeout,"0",,,,,,,,,,,,,,
Data,6,event,timestamp,"966450806",s,data16,"1",,event,"47",,event_type,"2",,comm_timeout,"1",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56951",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"56967",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966450823",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56982",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"56998",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57007",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57022",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57037",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57053",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57068",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57083",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57098",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,steps,"4099",steps,timestamp_16,"57104",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57114",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57129",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57144",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57159",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57178",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57193",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57208",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57223",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"57224",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57237",s,heart_rate,"88",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57252",s,heart_rate,"88",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57263",s,heart_rate,"91",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57278",s,heart_rate,"91",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57294",s,heart_rate,"91",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57309",s,heart_rate,"91",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,steps,"4134",steps,active_calories,"78",kcal,timestamp_16,"57317",s,current_activity_type_intensity,"134",,activity_type,"6",,intensity,"4.0",,,,,,,,,,,
Data,6,event,timestamp,"966451173",s,data16,"0",,event,"47",,event_type,"3",,comm_timeout,"0",,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"57318",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,,,,,,,
Data,6,event,timestamp,"966451174",s,data16,"0",,event,"47",,event_type,"4",,comm_timeout,"0",,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57331",s,heart_rate,"91",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57343",s,heart_rate,"103",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57352",s,heart_rate,"97",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57367",s,heart_rate,"97",bpm,,,,,,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"57379",s,heart_rate,"92",bpm,,,,,,,,,,,,,,,,,,,,,,
